method,future,error
Perceptron (Zorbas et al. 2015) approx mean error,30,3000
Perceptron (Zorbas et al. 2015) approx mean error,60,7000
MLP (Valsamis et al. 2017) ,4,153
MLP (Valsamis et al. 2017) ,10,652
MLP (Valsamis et al. 2017) ,20,983
MLP (Valsamis et al. 2017) ,30,1721
MLP Times Series (Valsamis et al. 2017) ,4,1314
MLP Times Series (Valsamis et al. 2017) ,10,1896
MLP Times Series (Valsamis et al. 2017) ,20,2102
MLP Times Series (Valsamis et al. 2017) ,30,4613
Kinematic (Valsamis et al. 2017) ,4,890
Kinematic (Valsamis et al. 2017) ,10,2186
Kinematic (Valsamis et al. 2017) ,20,4256
Kinematic (Valsamis et al. 2017) ,30,6477
GMM (Graser et al. 2018) ,5,582
GMM (Graser et al. 2018) ,10,1029
GMM (Graser et al. 2018) ,15,1522
Linear (Graser et al. 2018) ,5,520
Linear (Graser et al. 2018) ,10,1247
Linear (Graser et al. 2018) ,15,1923
Hbase Similar-trajectory-search (Wijaya Nakamura 2013) ,10,900
GeoMesa RouteSearch (Graser et al. 2018) ,5,436
GeoMesa RouteSearch (Graser et al. 2018) ,10,919
GeoMesa RouteSearch (Graser et al. 2018) ,15,1344
