X;Y;fid;id;sequence;trajectory_id;tracker;t
116.391305;39.898573;1;1;1;1;19;2008-12-11 04:42:14+00
116.391317;39.898617;2;2;2;1;19;2008-12-11 04:42:16+00
116.390928;39.898613;3;3;3;1;19;2008-12-11 04:43:26+00
116.390833;39.898635;4;4;4;1;19;2008-12-11 04:43:32+00
116.38941;39.898723;5;5;5;1;19;2008-12-11 04:43:47+00
116.390522;39.897928;6;6;6;1;19;2008-12-11 04:43:50+00
116.390608;39.897837;7;7;7;1;19;2008-12-11 04:43:52+00
116.390708;39.8979;8;8;8;1;19;2008-12-11 04:45:21+00
116.390725;39.89801;9;9;9;1;19;2008-12-11 04:45:25+00
116.390747;39.898107;10;10;10;1;19;2008-12-11 04:45:30+00
116.390805;39.898187;11;11;11;1;19;2008-12-11 04:45:35+00
116.39086;39.898287;12;12;12;1;19;2008-12-11 04:45:40+00
116.390913;39.898398;13;13;13;1;19;2008-12-11 04:46:03+00
116.390827;39.898373;14;14;14;1;19;2008-12-11 04:47:27+00
116.390695;39.898377;15;15;15;1;19;2008-12-11 04:47:30+00
116.390598;39.898382;16;16;16;1;19;2008-12-11 04:47:32+00
116.390505;39.898408;17;17;17;1;19;2008-12-11 04:47:34+00
116.39041;39.898417;18;18;18;1;19;2008-12-11 04:47:36+00
116.390303;39.898428;19;19;19;1;19;2008-12-11 04:47:38+00
116.390193;39.898437;20;20;20;1;19;2008-12-11 04:47:40+00
116.390127;39.898375;21;21;21;1;19;2008-12-11 04:47:42+00
116.39003;39.89834;22;22;22;1;19;2008-12-11 04:47:44+00
116.389932;39.898292;23;23;23;1;19;2008-12-11 04:47:46+00
116.389837;39.898238;24;24;24;1;19;2008-12-11 04:47:48+00
116.389738;39.898182;25;25;25;1;19;2008-12-11 04:47:50+00
116.389652;39.898123;26;26;26;1;19;2008-12-11 04:47:52+00
116.389572;39.898078;27;27;27;1;19;2008-12-11 04:47:54+00
116.389427;39.898013;28;28;28;1;19;2008-12-11 04:47:57+00
116.389335;39.89797;29;29;29;1;19;2008-12-11 04:47:59+00
116.389237;39.897933;30;30;30;1;19;2008-12-11 04:48:01+00
116.389157;39.897853;31;31;31;1;19;2008-12-11 04:48:03+00
116.389085;39.897797;32;32;32;1;19;2008-12-11 04:48:06+00
116.388968;39.89774;33;33;33;1;19;2008-12-11 04:48:09+00
116.388892;39.89762;34;34;34;1;19;2008-12-11 04:48:11+00
116.388808;39.89747;35;35;35;1;19;2008-12-11 04:48:13+00
116.388763;39.897392;36;36;36;1;19;2008-12-11 04:48:14+00
116.388713;39.897298;37;37;37;1;19;2008-12-11 04:48:15+00
116.388662;39.897205;38;38;38;1;19;2008-12-11 04:48:16+00
116.388608;39.897107;39;39;39;1;19;2008-12-11 04:48:17+00
116.388557;39.897002;40;40;40;1;19;2008-12-11 04:48:18+00
116.388505;39.896903;41;41;41;1;19;2008-12-11 04:48:19+00
116.38846;39.896802;42;42;42;1;19;2008-12-11 04:48:20+00
116.38841;39.896697;43;43;43;1;19;2008-12-11 04:48:21+00
116.388373;39.896598;44;44;44;1;19;2008-12-11 04:48:22+00
116.388335;39.896497;45;45;45;1;19;2008-12-11 04:48:23+00
116.388298;39.8964;46;46;46;1;19;2008-12-11 04:48:24+00
116.388245;39.896213;47;47;47;1;19;2008-12-11 04:48:26+00
116.388248;39.896103;48;48;48;1;19;2008-12-11 04:48:27+00
116.38822;39.895928;49;49;49;1;19;2008-12-11 04:48:29+00
116.38822;39.895772;50;50;50;1;19;2008-12-11 04:48:31+00
116.388235;39.895622;51;51;51;1;19;2008-12-11 04:48:33+00
116.388238;39.895482;52;52;52;1;19;2008-12-11 04:48:35+00
116.38826;39.895363;53;53;53;1;19;2008-12-11 04:48:37+00
116.388278;39.895223;54;54;54;1;19;2008-12-11 04:48:39+00
116.388305;39.895088;55;55;55;1;19;2008-12-11 04:48:41+00
116.38832;39.89496;56;56;56;1;19;2008-12-11 04:48:43+00
116.38836;39.89482;57;57;57;1;19;2008-12-11 04:48:45+00
116.388397;39.894692;58;58;58;1;19;2008-12-11 04:48:47+00
116.388442;39.8946;59;59;59;1;19;2008-12-11 04:48:49+00
116.388483;39.894475;60;60;60;1;19;2008-12-11 04:48:52+00
116.388508;39.894357;61;61;61;1;19;2008-12-11 04:48:55+00
116.388507;39.894258;62;62;62;1;19;2008-12-11 04:48:57+00
116.388522;39.894125;63;63;63;1;19;2008-12-11 04:49:00+00
116.388532;39.894013;64;64;64;1;19;2008-12-11 04:49:02+00
116.38854;39.893875;65;65;65;1;19;2008-12-11 04:49:04+00
116.38854;39.893765;66;66;66;1;19;2008-12-11 04:49:06+00
116.388542;39.893648;67;67;67;1;19;2008-12-11 04:49:08+00
116.388547;39.893508;68;68;68;1;19;2008-12-11 04:49:10+00
116.388542;39.893372;69;69;69;1;19;2008-12-11 04:49:12+00
116.38854;39.893235;70;70;70;1;19;2008-12-11 04:49:14+00
116.388533;39.893093;71;71;71;1;19;2008-12-11 04:49:16+00
116.38852;39.892955;72;72;72;1;19;2008-12-11 04:49:18+00
116.388512;39.892813;73;73;73;1;19;2008-12-11 04:49:20+00
116.388498;39.892667;74;74;74;1;19;2008-12-11 04:49:23+00
116.388493;39.892547;75;75;75;1;19;2008-12-11 04:49:25+00
116.388483;39.892418;76;76;76;1;19;2008-12-11 04:49:27+00
116.38847;39.892285;77;77;77;1;19;2008-12-11 04:49:29+00
116.388462;39.892145;78;78;78;1;19;2008-12-11 04:49:31+00
116.388455;39.892005;79;79;79;1;19;2008-12-11 04:49:33+00
116.388452;39.891865;80;80;80;1;19;2008-12-11 04:49:35+00
116.38846;39.891717;81;81;81;1;19;2008-12-11 04:49:37+00
116.388473;39.891562;82;82;82;1;19;2008-12-11 04:49:39+00
116.388488;39.891397;83;83;83;1;19;2008-12-11 04:49:41+00
116.3885;39.891233;84;84;84;1;19;2008-12-11 04:49:43+00
116.388517;39.891137;85;85;85;1;19;2008-12-11 04:49:44+00
116.388553;39.891037;86;86;86;1;19;2008-12-11 04:49:45+00
116.388567;39.890938;87;87;87;1;19;2008-12-11 04:49:46+00
116.388592;39.890848;88;88;88;1;19;2008-12-11 04:49:47+00
116.388612;39.890758;89;89;89;1;19;2008-12-11 04:49:48+00
116.388635;39.890667;90;90;90;1;19;2008-12-11 04:49:49+00
116.388677;39.890488;91;91;91;1;19;2008-12-11 04:49:51+00
116.388717;39.890318;92;92;92;1;19;2008-12-11 04:49:53+00
116.38876;39.890148;93;93;93;1;19;2008-12-11 04:49:55+00
116.388818;39.889982;94;94;94;1;19;2008-12-11 04:49:57+00
116.388875;39.889817;95;95;95;1;19;2008-12-11 04:49:59+00
116.38891;39.88967;96;96;96;1;19;2008-12-11 04:50:01+00
116.38894;39.889543;97;97;97;1;19;2008-12-11 04:50:03+00
